country,region,date,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
United Arab Emirates,Total,16/04/2020,-63,-32,-74,-79,-55,34
United Arab Emirates,Abu Dhabi,16/04/2020,-54,-23,-66,-75,-47,28
United Arab Emirates,Ajman,16/04/2020,-49,-26,-83,-50,-46,29
United Arab Emirates,Dubai,16/04/2020,-76,-42,-78,-81,-64,41
United Arab Emirates,Fujairah,16/04/2020,-46,-22,-43,,-30,21
United Arab Emirates,Ras al Khaimah,16/04/2020,-47,-24,-49,-59,-34,22
United Arab Emirates,Sharjah,16/04/2020,-47,-25,-83,-72,-50,30
United Arab Emirates,Umm Al Quawain,16/04/2020,-42,-23,,,-35,
Afghanistan,Total,16/04/2020,-46,-34,-13,-51,-39,16
Antigua and Barbuda,Total,16/04/2020,-67,-48,-55,-78,-73,
Angola,Total,16/04/2020,-52,-34,-36,-59,-51,25
Argentina,Total,16/04/2020,-83,-31,-92,-61,-53,26
Argentina,Buenos Aires,16/04/2020,-88,-27,-93,-72,-73,34
Argentina,Buenos Aires Province,16/04/2020,-83,-28,-94,-58,-57,27
Argentina,Catamarca Province,16/04/2020,-74,-15,-90,-62,-31,21
Argentina,Chaco Province,16/04/2020,-80,-28,-91,-74,-42,20
Argentina,Chubut Province,16/04/2020,-83,-36,-91,-77,-48,25
Argentina,Cordoba,16/04/2020,-83,-35,-93,-78,-51,26
Argentina,Corrientes,16/04/2020,-78,-37,-86,-73,-37,19
Argentina,Entre Rios,16/04/2020,-81,-30,-91,-70,-38,20
Argentina,Formosa Province,16/04/2020,-82,-18,-85,0,-27,15
Argentina,Jujuy,16/04/2020,-81,-25,-86,-78,-38,20
Argentina,La Pampa,16/04/2020,-83,-34,-87,-58,-44,23
Argentina,La Rioja Province,16/04/2020,-76,-35,-96,-68,-46,21
Argentina,Mendoza Province,16/04/2020,-80,-31,-89,-50,-47,26
Argentina,Misiones Province,16/04/2020,-77,-32,-81,-82,-35,19
Argentina,Neuquen,16/04/2020,-85,-41,-91,-60,-55,29
Argentina,Río Negro,16/04/2020,-87,-49,-91,-91,-52,28
Argentina,Salta Province,16/04/2020,-80,-35,-87,-45,-42,21
Argentina,San Juan Province,16/04/2020,-79,-14,-92,-76,-39,22
Argentina,San Luis Province,16/04/2020,-84,-39,-93,-74,-47,23
Argentina,Santa Cruz Province,16/04/2020,-82,-35,-88,-87,-47,26
Argentina,Santa Fe Province,16/04/2020,-81,-31,-93,-31,-48,24
Argentina,Santiago del Estero Province,16/04/2020,-80,-31,-87,-82,-44,20
Argentina,Tierra del Fuego Province,16/04/2020,-86,-50,-89,-79,-66,31
Argentina,Tucumán,16/04/2020,-79,-23,-84,-55,-45,20
Austria,Total,16/04/2020,-63,-18,-9,-57,-52,20
Austria,Burgenland,16/04/2020,-54,-14,44,-34,-50,19
Austria,Carinthia,16/04/2020,-59,-19,-20,-48,-47,17
Austria,Lower Austria,16/04/2020,-55,-7,53,-60,-51,20
Austria,Salzburg,16/04/2020,-71,-29,-48,-62,-50,19
Austria,Styria,16/04/2020,-61,-19,-12,-54,-50,19
Austria,Tyrol,16/04/2020,-73,-31,-50,-62,-50,19
Austria,Upper Austria,16/04/2020,-58,-14,21,-54,-48,19
Austria,Vienna,16/04/2020,-67,-15,17,-60,-61,22
Austria,Vorarlberg,16/04/2020,-60,-18,-39,-63,-45,19
Australia,Total,16/04/2020,-39,-8,-27,-60,-41,20
Australia,Australian Capital Territory,16/04/2020,-37,6,-3,-57,-49,22
Australia,New South Wales,16/04/2020,-40,-6,-26,-60,-43,21
Australia,Northern Territory,16/04/2020,-20,0,-11,-43,-18,13
Australia,Queensland,16/04/2020,-34,-5,-23,-58,-38,16
Australia,South Australia,16/04/2020,-32,0,-24,-51,-34,16
Australia,Tasmania,16/04/2020,-50,-24,-60,-60,-35,18
Australia,Victoria,16/04/2020,-45,-13,-42,-70,-44,23
Australia,Western Australia,16/04/2020,-32,-6,-25,-56,-34,18
Aruba,Total,16/04/2020,-66,-31,-48,-68,-63,32
Bosnia and Herzegovina,Total,16/04/2020,-56,-15,12,-46,-46,14
Barbados,Total,16/04/2020,-71,-46,-64,-79,-73,32
Barbados,Christ Church,16/04/2020,-79,-52,,-84,-74,
Barbados,Saint George,16/04/2020,,,-51,,-74,
Barbados,Saint James,16/04/2020,,,,,-75,
Barbados,Saint John,16/04/2020,,,,,-72,
Barbados,Saint Lucy,16/04/2020,,,,,-71,
Barbados,Saint Michael,16/04/2020,-73,-50,-78,-78,-72,
Barbados,Saint Peter,16/04/2020,,,,,-74,
Barbados,Saint Philip,16/04/2020,,,,,-72,
Barbados,Saint Thomas,16/04/2020,,,,,-74,
Bangladesh,Total,16/04/2020,-74,-54,-32,-72,-59,27
Belgium,Total,16/04/2020,-73,-20,-4,-67,-65,27
Belgium,Brussels,16/04/2020,-83,-32,-14,-78,-74,31
Belgium,Flanders,16/04/2020,-70,-13,7,-65,-62,27
Belgium,Wallonia,16/04/2020,-75,-29,-24,-64,-66,27
Burkina Faso,Total,16/04/2020,-28,-22,-18,-43,-18,20
Bulgaria,Total,16/04/2020,-41,-2,-21,-43,-43,13
Bulgaria,Blagoevgrad Province,16/04/2020,-49,-6,-14,-35,-41,11
Bulgaria,Burgas,16/04/2020,-35,1,-12,-31,-38,11
Bulgaria,Dobrich Province,16/04/2020,-29,4,-10,,-34,9
Bulgaria,Gabrovo,16/04/2020,-41,15,,,-35,10
Bulgaria,Haskovo Province,16/04/2020,-37,13,18,-50,-37,11
Bulgaria,Jambol,16/04/2020,-34,,,,-33,11
Bulgaria,Kardzhali Province,16/04/2020,,,-15,-62,-44,
Bulgaria,Kyustendil Province,16/04/2020,-35,14,,,-35,10
Bulgaria,Lovec,16/04/2020,,6,,,-34,9
Bulgaria,Montana Province,16/04/2020,,,,,-29,5
Bulgaria,Pazardzhik,16/04/2020,-37,6,-2,,-37,11
Bulgaria,Pernik,16/04/2020,-29,18,,,-37,12
Bulgaria,Pleven Province,16/04/2020,-34,1,2,,-37,9
Bulgaria,Plovdiv Province,16/04/2020,-43,-1,-20,-32,-39,12
Bulgaria,Razgrad,16/04/2020,,,,,-34,
Bulgaria,Ruse,16/04/2020,-32,1,2,,-37,11
Bulgaria,Shumen Province,16/04/2020,-36,1,,-32,-36,9
Bulgaria,Silistra,16/04/2020,,,,,-34,
Bulgaria,Sliven Province,16/04/2020,-34,4,-15,,-37,10
Bulgaria,Smoljan,16/04/2020,,,-2,,-41,
Bulgaria,Sofia City Province,16/04/2020,-51,-12,-47,-54,-54,20
Bulgaria,Sofia Province,16/04/2020,-29,7,20,,-39,13
Bulgaria,Stara Zagora,16/04/2020,-40,-1,-21,33,-35,11
Bulgaria,Targovishte Province,16/04/2020,,-1,,,-38,
Bulgaria,Varna,16/04/2020,-42,0,-17,-56,-43,14
Bulgaria,Veliko Tarnovo Province,16/04/2020,-38,-4,-11,-31,-37,10
Bulgaria,Vidin,16/04/2020,,,,,-33,
Bulgaria,Vraca,16/04/2020,-30,1,40,-23,-33,7
Bahrain,Total,16/04/2020,-36,-11,-40,-36,-23,18
Benin,Total,16/04/2020,-18,-5,-4,-16,-16,10
Bolivia,Total,16/04/2020,-83,-70,-75,-81,-75,38
Brazil,Total,16/04/2020,-56,-14,-46,-53,-38,18
Brazil,Federal District,16/04/2020,-60,-8,-69,-50,-49,24
Brazil,State of Acre,16/04/2020,-45,-10,-39,-67,-29,14
Brazil,State of Alagoas,16/04/2020,-61,-20,-48,-61,-37,15
Brazil,State of Amapá,16/04/2020,-58,-19,-38,-69,-46,18
Brazil,State of Amazonas,16/04/2020,-57,-21,-53,-45,-44,19
Brazil,State of Bahia,16/04/2020,-55,-22,-47,-59,-35,16
Brazil,State of Ceará,16/04/2020,-67,-21,-51,-63,-49,19
Brazil,State of Espírito Santo,16/04/2020,-52,-12,-47,-57,-32,17
Brazil,State of Goiás,16/04/2020,-49,-12,-32,-42,-35,18
Brazil,State of Maranhão,16/04/2020,-53,-19,-44,-61,-35,16
Brazil,State of Mato Grosso,16/04/2020,-36,-8,-31,-43,-21,12
Brazil,State of Mato Grosso do Sul,16/04/2020,-37,-7,-33,-42,-18,13
Brazil,State of Minas Gerais,16/04/2020,-50,-5,-32,-40,-31,17
Brazil,State of Pará,16/04/2020,-45,-11,-34,-46,-30,15
Brazil,State of Paraíba,16/04/2020,-67,-20,-56,-61,-41,17
Brazil,State of Paraná,16/04/2020,-45,-11,-34,-45,-29,16
Brazil,State of Pernambuco,16/04/2020,-65,-29,-58,-57,-46,19
Brazil,State of Piauí,16/04/2020,-64,-27,-32,-72,-42,20
Brazil,State of Rio de Janeiro,16/04/2020,-61,-19,-68,-58,-46,22
Brazil,State of Rio Grande do Norte,16/04/2020,-63,-20,-55,-56,-39,18
Brazil,State of Rio Grande do Sul,16/04/2020,-51,-16,-45,-49,-33,18
Brazil,State of Rondônia,16/04/2020,-40,-14,-27,-61,-20,12
Brazil,State of Roraima,16/04/2020,-47,-12,-38,-58,-28,15
Brazil,State of Santa Catarina,16/04/2020,-47,-23,-61,-66,-26,15
Brazil,State of São Paulo,16/04/2020,-58,-10,-40,-54,-43,20
Brazil,State of Sergipe,16/04/2020,-54,-21,-40,-69,-42,16
Brazil,State of Tocantins,16/04/2020,-36,-16,-24,-51,-22,13
The Bahamas,Total,16/04/2020,-53,-15,-39,-83,-60,29
Botswana,Total,16/04/2020,-63,-53,-2,-74,-64,35
Belarus,Total,16/04/2020,-24,-5,-9,-28,-26,10
Belize,Total,16/04/2020,-68,-40,-53,-79,-70,28
Canada,Total,16/04/2020,-49,-18,-6,-68,-60,25
Canada,Alberta,16/04/2020,-41,-4,-5,-67,-53,22
Canada,British Columbia,16/04/2020,-43,-16,70,-59,-54,21
Canada,Manitoba,16/04/2020,-39,-6,-15,-60,-47,21
Canada,New Brunswick,16/04/2020,-39,-21,-10,-54,-56,22
Canada,Newfoundland and Labrador,16/04/2020,-40,-23,-16,-62,-59,19
Canada,Northwest Territories,16/04/2020,,,,-55,-47,
Canada,Nova Scotia,16/04/2020,-45,-23,-23,-67,-59,21
Canada,Nunavut,16/04/2020,,,,,-27,
Canada,Ontario,16/04/2020,-54,-19,-32,-70,-63,27
Canada,Prince Edward Island,16/04/2020,-41,-10,,,-55,21
Canada,Quebec,16/04/2020,-56,-24,-26,-73,-65,28
Canada,Saskatchewan,16/04/2020,-39,-7,17,-53,-49,19
Canada,Yukon,16/04/2020,,,,,-42,
Côte d'Ivoire,Total,16/04/2020,-29,-16,-22,-29,-25,18
Chile,Total,16/04/2020,-63,-38,-61,-59,-48,25
Chile,Antofagasta,16/04/2020,-52,-37,-59,-53,-35,20
Chile,Araucania,16/04/2020,-76,-56,-69,-74,-57,28
Chile,Arica y Parinacota,16/04/2020,-47,-3,-66,-40,-36,15
Chile,Atacama,16/04/2020,-50,-34,-48,-63,-29,19
Chile,Aysén,16/04/2020,-58,-34,-64,-80,-32,18
Chile,Bio Bio,16/04/2020,-64,-41,-59,-60,-45,24
Chile,Coquimbo,16/04/2020,-65,-44,-74,-59,-40,20
Chile,Los Lagos,16/04/2020,-69,-50,-68,-66,-44,24
Chile,Los Ríos,16/04/2020,-70,-49,-76,-67,-44,25
Chile,Magallanes and Chilean Antarctica,16/04/2020,-80,-58,-74,-83,-58,26
Chile,Maule,16/04/2020,-53,-34,-52,-49,-31,20
Chile,Ñuble,16/04/2020,-70,-56,-54,-81,-66,
Chile,O'Higgins,16/04/2020,-50,-30,-53,-46,-31,19
Chile,Santiago Metropolitan Region,16/04/2020,-63,-29,-54,-61,-54,28
Chile,Tarapacá,16/04/2020,-62,-37,-68,-48,-40,22
Chile,Valparaíso,16/04/2020,-62,-41,-67,-55,-42,21
Cameroon,Total,16/04/2020,-26,-20,-19,-26,-20,12
Colombia,Total,16/04/2020,-77,-52,-67,-77,-69,33
Colombia,Amazonas Department,16/04/2020,,,-57,,-35,
Colombia,Antioquia,16/04/2020,-77,-48,-65,-78,-71,33
Colombia,Arauca,16/04/2020,,-49,-56,-52,-45,
Colombia,Atlantico,16/04/2020,-76,-51,-71,-80,-70,29
Colombia,Bogota,16/04/2020,-79,-55,-70,-80,-76,40
Colombia,Bolivar,16/04/2020,-82,-66,-79,-87,-69,28
Colombia,Boyaca,16/04/2020,-73,-55,-65,-75,-63,29
Colombia,Caldas,16/04/2020,-77,-55,-65,-86,-66,30
Colombia,Caquetá,16/04/2020,-69,-52,-63,,-56,26
Colombia,Casanare,16/04/2020,-73,-53,-58,-70,-56,31
Colombia,Cauca,16/04/2020,-75,-57,-65,-69,-62,27
Colombia,Cesar,16/04/2020,-75,-55,-62,-82,-59,26
Colombia,Choco,16/04/2020,,,-43,-67,-48,19
Colombia,Cordoba,16/04/2020,-70,-49,-53,-69,-61,23
Colombia,Cundinamarca,16/04/2020,-69,-51,-63,-70,-64,35
Colombia,Guaviare,16/04/2020,,,-55,,-39,
Colombia,Huila,16/04/2020,-74,-52,-68,,-63,28
Colombia,La Guajira,16/04/2020,-67,-42,-57,-68,-53,22
Colombia,Magdalena,16/04/2020,-76,-59,-76,-83,-63,25
Colombia,Meta,16/04/2020,-75,-55,-61,-59,-60,31
Colombia,Narino,16/04/2020,-78,-57,-64,-70,-66,29
Colombia,North Santander,16/04/2020,-77,-47,-66,-83,-65,27
Colombia,Putumayo,16/04/2020,-69,-61,-58,,-46,24
Colombia,Quindio,16/04/2020,-80,-55,-74,,-69,29
Colombia,Risaralda,16/04/2020,-78,-51,-72,-82,-70,32
Colombia,San Andrés and Providencia,16/04/2020,-80,-59,-79,-80,-59,
Colombia,Santander,16/04/2020,-75,-49,-66,-76,-68,30
Colombia,Sucre,16/04/2020,-71,-49,-57,-89,-55,23
Colombia,Tolima,16/04/2020,-77,-57,-61,-81,-64,29
Colombia,Valle del Cauca,16/04/2020,-73,-48,-68,-71,-66,29
Colombia,Vichada,16/04/2020,,,-33,,-23,
Costa Rica,Total,16/04/2020,-47,-25,-53,-53,-41,21
Cape Verde,Total,16/04/2020,-64,-48,-54,-84,-63,30
Germany,Total,16/04/2020,-53,-3,57,-48,-43,16
Germany,Baden-Württemberg,16/04/2020,-54,-4,51,-50,-45,17
Germany,Bavaria,16/04/2020,-63,-5,29,-55,-46,18
Germany,Berlin,16/04/2020,-61,2,20,-51,-52,18
Germany,Brandenburg,16/04/2020,-42,9,59,-36,-39,14
Germany,Bremen,16/04/2020,-57,2,48,-52,-44,15
Germany,Hamburg,16/04/2020,-63,2,56,-55,-50,20
Germany,Hesse,16/04/2020,-52,-4,62,-60,-47,16
Germany,Lower Saxony,16/04/2020,-49,-5,55,-42,-41,15
Germany,Mecklenburg-Vorpommern,16/04/2020,-56,-2,30,-37,-34,11
Germany,North Rhine-Westphalia,16/04/2020,-49,-3,90,-48,-45,15
Germany,Rhineland-Palatinate,16/04/2020,-47,-4,57,-54,-44,16
Germany,Saarland,16/04/2020,-49,-13,48,-58,-47,17
Germany,Saxony,16/04/2020,-56,-4,90,-40,-37,13
Germany,Saxony-Anhalt,16/04/2020,-44,-2,54,-39,-30,10
Germany,Schleswig-Holstein,16/04/2020,-49,-3,50,-43,-44,16
Germany,Thuringia,16/04/2020,-42,-6,80,-32,-37,12
Denmark,Total,16/04/2020,-23,-4,95,-50,-47,16
Denmark,Capital Region of Denmark,16/04/2020,-32,-7,85,-57,-55,19
Denmark,Central Denmark Region,16/04/2020,-22,-6,121,-45,-45,16
Denmark,North Denmark Region,16/04/2020,-23,1,63,-39,-41,14
Denmark,Region of Southern Denmark,16/04/2020,-17,-3,87,-45,-42,14
Denmark,Region Zealand,16/04/2020,-9,-4,109,-45,-44,15
Dominican Republic,Total,16/04/2020,-69,-47,-59,-80,-69,32
Ecuador,Total,16/04/2020,-77,-58,-72,-76,-78,37
Estonia,Total,16/04/2020,-46,-21,-14,-49,-50,21
Estonia,Harju County,16/04/2020,-48,-23,-15,-55,-53,23
Estonia,Ida-Viru County,16/04/2020,-38,-19,,-33,-41,15
Estonia,Järva County,16/04/2020,,,,,-39,
Estonia,Jõgeva County,16/04/2020,,,,,-41,
Estonia,Lääne County,16/04/2020,,,,,-43,
Estonia,Lääne-Viru County,16/04/2020,,-19,,-35,-43,
Estonia,Pärnu County,16/04/2020,-48,-19,,-46,-46,18
Estonia,Põlva County,16/04/2020,,,,,-47,
Estonia,Rapla County,16/04/2020,,,,,-49,
Estonia,Saare County,16/04/2020,,,,-59,-51,
Estonia,Tartu County,16/04/2020,-51,-23,-14,-53,-52,23
Estonia,Valga County,16/04/2020,,,,,-41,
Estonia,Viljandi County,16/04/2020,,,,-35,-45,
Estonia,Võru County,16/04/2020,,,,,-45,
Spain,Total,16/04/2020,-88,-46,-76,-80,-67,30
Spain,Andalusia,16/04/2020,-87,-51,-75,-81,-67,27
Spain,Aragon,16/04/2020,-87,-45,-67,-77,-63,28
Spain,Asturias,16/04/2020,-88,-46,-70,-69,-65,27
Spain,Balearic Islands,16/04/2020,-86,-46,-73,-82,-64,30
Spain,Basque Country,16/04/2020,-88,-38,-78,-76,-65,31
Spain,Canary Islands,16/04/2020,-89,-52,-85,-80,-67,27
Spain,Cantabria,16/04/2020,-87,-45,-72,-77,-64,29
Spain,Castile and León,16/04/2020,-88,-51,-72,-80,-63,27
Spain,Castile-La Mancha,16/04/2020,-86,-45,-73,-79,-63,28
Spain,Catalonia,16/04/2020,-87,-41,-76,-80,-70,34
Spain,Ceuta,16/04/2020,-92,-54,-84,,-67,
Spain,Community of Madrid,16/04/2020,-90,-45,-84,-84,-77,37
Spain,Extremadura,16/04/2020,-87,-54,-67,-77,-62,24
Spain,Galicia,16/04/2020,-86,-46,-64,-79,-63,29
Spain,La Rioja,16/04/2020,-86,-48,-74,-81,-60,27
Spain,Melilla,16/04/2020,-85,-52,-79,-78,-65,
Spain,Navarre,16/04/2020,-87,-40,-74,-81,-62,29
Spain,Region of Murcia,16/04/2020,-85,-44,-72,-70,-60,27
Spain,Valencian Community,16/04/2020,-87,-45,-76,-81,-65,29
Finland,Total,16/04/2020,-43,-13,28,-58,-49,17
Finland,Central Finland,16/04/2020,-37,-15,41,-60,-49,16
Finland,Central Ostrobothnia,16/04/2020,-30,-11,,-53,-41,13
Finland,Kainuu,16/04/2020,-44,-15,,-51,-43,12
Finland,Kymenlaakso,16/04/2020,-42,-8,36,-60,-40,13
Finland,Lapland,16/04/2020,-51,-20,10,-65,-47,13
Finland,North Karelia,16/04/2020,-37,-14,,,-44,13
Finland,Northern Ostrobothnia,16/04/2020,-39,-14,51,-50,-51,16
Finland,Northern Savonia,16/04/2020,-42,-9,48,-46,-45,14
Finland,Ostrobothnia,16/04/2020,-35,-7,,-52,-44,15
Finland,Päijänne Tavastia,16/04/2020,-41,-13,,-50,-45,15
Finland,Pirkanmaa,16/04/2020,-42,-13,28,-55,-51,18
Finland,Satakunta,16/04/2020,-36,-10,,-43,-39,14
Finland,South Karelia,16/04/2020,-39,-11,,-56,-46,13
Finland,Southern Ostrobothnia,16/04/2020,-36,-10,,-43,-41,14
Finland,Southern Savonia,16/04/2020,-41,-7,51,-48,-40,12
Finland,Southwest Finland,16/04/2020,-41,-11,27,-49,-46,17
Finland,Tavastia Proper,16/04/2020,-38,-13,,-58,-45,16
Finland,Uusimaa,16/04/2020,-48,-13,1,-65,-57,22
Fiji,Total,16/04/2020,-38,-23,-21,-55,-38,23
France,Total,16/04/2020,-81,-31,-58,-78,-69,31
France,Auvergne-Rhône-Alpes,16/04/2020,-80,-32,-58,-79,-68,33
France,Bourgogne-Franche-Comté,16/04/2020,-79,-35,-48,-71,-63,28
France,Brittany,16/04/2020,-80,-32,-40,-76,-64,29
France,Centre-Val de Loire,16/04/2020,-79,-31,-55,-76,-67,30
France,Corsica,16/04/2020,-79,-38,-54,-71,-60,24
France,Grand Est,16/04/2020,-80,-32,-50,-78,-67,29
France,Hauts-de-France,16/04/2020,-79,-30,-53,-79,-68,29
France,Île-de-France,16/04/2020,-83,-28,-78,-80,-79,38
France,Normandy,16/04/2020,-79,-30,-51,-78,-65,29
France,Nouvelle-Aquitaine,16/04/2020,-80,-31,-51,-76,-64,29
France,Occitanie,16/04/2020,-79,-32,-53,-78,-68,30
France,Pays de la Loire,16/04/2020,-81,-32,-48,-81,-67,32
France,Provence-Alpes-Côte d'Azur,16/04/2020,-78,-33,-63,-76,-68,30
Gabon,Total,16/04/2020,-52,-39,-16,-60,-52,28
United Kingdom,Total,16/04/2020,-73,-27,-7,-70,-69,28
United Kingdom,Aberdeen City,16/04/2020,-80,-29,-16,-66,-71,29
United Kingdom,Aberdeenshire,16/04/2020,-63,-31,-17,-54,-69,27
United Kingdom,Angus council,16/04/2020,-70,-29,-14,-47,-65,
United Kingdom,Antrim And Newtownabbey,16/04/2020,-58,-22,,-78,-70,29
United Kingdom,Ards And North Down,16/04/2020,-61,-24,-38,-61,-72,28
United Kingdom,Argyll and Bute Council,16/04/2020,-72,-32,-31,-56,-66,
United Kingdom,"Armagh City, Banbridge And Craigavon",16/04/2020,-64,-19,-47,-58,-64,27
United Kingdom,Bath and North East Somerset,16/04/2020,-85,-35,-17,-72,-74,30
United Kingdom,Bedford,16/04/2020,-73,-25,,-65,-66,28
United Kingdom,Belfast,16/04/2020,-73,-28,-17,-76,-73,28
United Kingdom,Blackburn with Darwen,16/04/2020,-69,-23,,-63,-61,24
United Kingdom,Blackpool,16/04/2020,-73,-21,7,-53,-61,22
United Kingdom,Blaenau Gwent,16/04/2020,,-25,,-28,-57,
United Kingdom,Borough of Halton,16/04/2020,-62,-27,,-55,-62,25
United Kingdom,Bracknell Forest,16/04/2020,-70,-25,,-69,-74,
United Kingdom,Bridgend County Borough,16/04/2020,-73,-20,,-57,-65,25
United Kingdom,Brighton and Hove,16/04/2020,-80,-34,8,-71,-75,30
United Kingdom,Buckinghamshire,16/04/2020,-69,-28,2,-67,-73,31
United Kingdom,Caerphilly County Borough,16/04/2020,-64,-24,,-54,-64,25
United Kingdom,Cambridgeshire,16/04/2020,-75,-29,0,-72,-71,30
United Kingdom,Cardiff,16/04/2020,-77,-32,-28,-79,-73,29
United Kingdom,Carmarthenshire,16/04/2020,-68,-18,-18,-49,-63,24
United Kingdom,Causeway Coast and Glens,16/04/2020,-70,-18,-24,-51,-66,26
United Kingdom,Central Bedfordshire,16/04/2020,-68,-25,31,-61,-70,30
United Kingdom,Ceredigion,16/04/2020,-74,-39,-34,-51,-66,
United Kingdom,Cheshire East,16/04/2020,-69,-28,-5,-68,-69,27
United Kingdom,Cheshire West and Chester,16/04/2020,-76,-28,-10,-66,-69,27
United Kingdom,City of Bristol,16/04/2020,-80,-31,28,-80,-75,32
United Kingdom,Clackmannanshire,16/04/2020,,-23,,-56,-67,
United Kingdom,Conwy Principal Area,16/04/2020,-71,-25,-24,-50,-65,23
United Kingdom,Cornwall,16/04/2020,-73,-35,-20,-51,-64,23
United Kingdom,County Durham,16/04/2020,-66,-26,-6,-53,-66,25
United Kingdom,Cumbria,16/04/2020,-70,-29,-25,-59,-67,25
United Kingdom,Darlington,16/04/2020,-70,-29,,-68,-64,24
United Kingdom,Denbighshire,16/04/2020,-66,-25,-14,-53,-63,
United Kingdom,Derby,16/04/2020,-69,-24,40,-76,-67,26
United Kingdom,Derbyshire,16/04/2020,-71,-22,6,-51,-66,26
United Kingdom,Derry And Strabane,16/04/2020,-61,-22,-51,-51,-65,25
United Kingdom,Devon,16/04/2020,-74,-31,-14,-60,-64,24
United Kingdom,Dorset,16/04/2020,-74,-29,1,-56,-67,26
United Kingdom,Dumfries and Galloway,16/04/2020,-68,-26,-29,-59,-60,21
United Kingdom,Dundee City Council,16/04/2020,-76,-34,-25,-68,-68,25
United Kingdom,East Ayrshire Council,16/04/2020,-66,-23,,-59,-65,24
United Kingdom,East Dunbartonshire Council,16/04/2020,-65,-20,,-71,-75,
United Kingdom,East Lothian Council,16/04/2020,-74,-26,-20,-59,-72,
United Kingdom,East Renfrewshire Council,16/04/2020,,-15,,-64,-76,
United Kingdom,East Riding of Yorkshire,16/04/2020,-69,-22,-5,-33,-64,25
United Kingdom,East Sussex,16/04/2020,-72,-26,1,-59,-66,26
United Kingdom,Edinburgh,16/04/2020,-83,-39,-42,-85,-81,33
United Kingdom,Essex,16/04/2020,-68,-29,-2,-76,-69,28
United Kingdom,Falkirk,16/04/2020,-70,-27,-14,-66,-69,27
United Kingdom,Fermanagh And Omagh,16/04/2020,-68,-20,,-53,-62,
United Kingdom,Fife,16/04/2020,-70,-24,-26,-60,-68,26
United Kingdom,Flintshire,16/04/2020,-64,-22,-5,-46,-66,27
United Kingdom,Glasgow City,16/04/2020,-77,-32,-38,-83,-75,29
United Kingdom,Gloucestershire,16/04/2020,-75,-30,-7,-59,-67,27
United Kingdom,Greater London,16/04/2020,-79,-32,-15,-79,-76,34
United Kingdom,Greater Manchester,16/04/2020,-70,-27,0,-74,-68,27
United Kingdom,Gwynedd,16/04/2020,-72,-34,-32,-54,-67,
United Kingdom,Hampshire,16/04/2020,-72,-28,2,-67,-69,29
United Kingdom,Hartlepool,16/04/2020,-69,-23,,-47,-61,
United Kingdom,Herefordshire,16/04/2020,-69,-31,3,-51,-57,23
United Kingdom,Hertfordshire,16/04/2020,-71,-31,6,-74,-72,31
United Kingdom,Highland Council,16/04/2020,-74,-32,-28,-58,-66,24
United Kingdom,Inverclyde,16/04/2020,-75,-25,,-59,-69,
United Kingdom,Isle of Anglesey,16/04/2020,,-21,-9,-47,-62,
United Kingdom,Isle of Wight,16/04/2020,-75,-32,-15,-63,-63,22
United Kingdom,Kent,16/04/2020,-71,-29,-3,-61,-67,27
United Kingdom,Kingston upon Hull,16/04/2020,-66,-23,-14,-60,-60,23
United Kingdom,Lancashire,16/04/2020,-69,-24,23,-61,-64,25
United Kingdom,Leicester,16/04/2020,-70,-28,10,-73,-64,25
United Kingdom,Leicestershire,16/04/2020,-69,-25,2,-58,-68,28
United Kingdom,Lincolnshire,16/04/2020,-69,-24,-16,-53,-60,22
United Kingdom,Lisburn and Castlereagh,16/04/2020,-70,-28,,-65,-72,31
United Kingdom,Luton,16/04/2020,-67,-22,,-87,-64,27
United Kingdom,Medway,16/04/2020,-70,-21,-2,-65,-64,27
United Kingdom,Merseyside,16/04/2020,-70,-23,-1,-68,-67,26
United Kingdom,Merthyr Tydfil County Borough,16/04/2020,-72,-34,,-46,-61,
United Kingdom,Mid And East Antrim,16/04/2020,-68,-18,-29,-70,-68,28
United Kingdom,Mid Ulster,16/04/2020,-60,-23,,-42,-66,29
United Kingdom,Middlesbrough,16/04/2020,-70,-32,-28,-71,-62,23
United Kingdom,Midlothian,16/04/2020,-75,-28,,-57,-71,
United Kingdom,Milton Keynes,16/04/2020,-71,-30,7,-74,-70,29
United Kingdom,Monmouthshire,16/04/2020,-70,-36,-21,-58,-67,
United Kingdom,Moray,16/04/2020,-75,-27,-16,-47,-64,
United Kingdom,Na h-Eileanan an Iar,16/04/2020,,,,-44,-57,
United Kingdom,Neath Port Talbot Principle Area,16/04/2020,-60,-23,0,-56,-64,23
United Kingdom,Newport,16/04/2020,-70,-27,-13,-68,-64,26
United Kingdom,"Newry, Mourne And Down",16/04/2020,-69,-24,-35,-47,-68,28
United Kingdom,Norfolk,16/04/2020,-73,-31,-17,-60,-63,24
United Kingdom,North Ayrshire Council,16/04/2020,-67,-15,-11,-54,-67,24
United Kingdom,North East Lincolnshire,16/04/2020,-69,-23,-18,-54,-55,21
United Kingdom,North Lanarkshire,16/04/2020,-65,-25,,-60,-67,26
United Kingdom,North Lincolnshire,16/04/2020,-60,-23,-14,-42,-58,22
United Kingdom,North Somerset,16/04/2020,-71,-31,12,-79,-67,28
United Kingdom,North Yorkshire,16/04/2020,-73,-29,-20,-61,-65,25
